Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as,Location
Rosh Chodesh Sh'vat,7/1/2019,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,21/1/2019,,,,TRUE,New Year for Trees,3,Jewish Holidays
Rosh Chodesh Adar I,5/2/2019,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar I,6/2/2019,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Purim Katan,19/2/2019,,,,TRUE,Minor Purim celebration during Adar I on leap years,3,Jewish Holidays
Shabbat Shekalim,2/3/2019,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar II,7/3/2019,,,,TRUE,Beginning of new Hebrew month of Adar II (on leap years),3,Jewish Holidays
Rosh Chodesh Adar II,8/3/2019,,,,TRUE,Beginning of new Hebrew month of Adar II (on leap years),3,Jewish Holidays
Shabbat Zachor,16/3/2019,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Ta'anit Esther,20/3/2019,,,,TRUE,Fast of Esther,3,Jewish Holidays
Erev Purim,20/3/2019,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,21/3/2019,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,22/3/2019,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,30/3/2019,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Rosh Chodesh Nisan,6/4/2019,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaChodesh,6/4/2019,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Shabbat HaGadol,13/4/2019,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,19/4/2019,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,19/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,20/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,21/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),22/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),23/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
