Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as,Location
Rosh Chodesh Sh'vat,17/1/2029,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,31/1/2029,,,,TRUE,New Year for Trees,3,Jewish Holidays
Shabbat Shekalim,10/2/2029,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar,15/2/2029,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar,16/2/2029,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Shabbat Zachor,24/2/2029,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Ta'anit Esther,28/2/2029,,,,TRUE,Fast of Esther,3,Jewish Holidays
Erev Purim,28/2/2029,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,1/3/2029,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,2/3/2029,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,10/3/2029,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Rosh Chodesh Nisan,17/3/2029,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaChodesh,17/3/2029,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Shabbat HaGadol,24/3/2029,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,30/3/2029,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,30/3/2029,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,31/3/2029,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,1/4/2029,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),2/4/2029,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),3/4/2029,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach V (CH''M),4/4/2029,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VI (CH''M),5/4/2029,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VII,6/4/2029,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach VIII,7/4/2029,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Yom HaShoah,12/4/2029,,,,TRUE,Holocaust Memorial Day,3,Jewish Holidays
Rosh Chodesh Iyyar,15/4/2029,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Rosh Chodesh Iyyar,16/4/2029,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Yom HaZikaron,18/4/2029,,,,TRUE,Israeli Memorial Day,3,Jewish Holidays
Yom HaAtzma'ut,19/4/2029,,,,TRUE,Israeli Independence Day,3,Jewish Holidays
Pesach Sheni,29/4/2029,,,,TRUE,Second Passover; one month after Passover,3,Jewish Holidays
Lag BaOmer,3/5/2029,,,,TRUE,33rd day of counting the Omer,3,Jewish Holidays
Yom Yerushalayim,13/5/2029,,,,TRUE,Jerusalem Day,3,Jewish Holidays
Rosh Chodesh Sivan,15/5/2029,,,,TRUE,Beginning of new Hebrew month of Sivan,3,Jewish Holidays
Erev Shavuot,19/5/2029,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,3,Jewish Holidays
Shavuot I,20/5/2029,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Shavuot II,21/5/2029,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Rosh Chodesh Tamuz,13/6/2029,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Rosh Chodesh Tamuz,14/6/2029,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Tzom Tammuz,1/7/2029,,,,TRUE,Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple,3,Jewish Holidays
Rosh Chodesh Av,13/7/2029,,,,TRUE,Beginning of new Hebrew month of Av,3,Jewish Holidays
Shabbat Chazon,21/7/2029,,,,TRUE,Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision),3,Jewish Holidays
Erev Tish'a B'Av,21/7/2029,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tish'a B'Av,22/7/2029,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tu B'Av,27/7/2029,,,,TRUE,Jewish holiday of love; similar to Valentine's Day,3,Jewish Holidays
Shabbat Nachamu,28/7/2029,,,,TRUE,Shabbat after Tish'a B'Av (Shabbat of Consolation),3,Jewish Holidays
Rosh Chodesh Elul,11/8/2029,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Rosh Chodesh Elul,12/8/2029,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Leil Selichot,1/9/2029,,,,TRUE,Prayers for forgiveness in preparation for the High Holidays,3,Jewish Holidays
Erev Rosh Hashana,9/9/2029,,,,TRUE,The Jewish New Year,3,Jewish Holidays
Rosh Hashana 5790,10/9/2029,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Rosh Hashana II,11/9/2029,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Tzom Gedaliah,12/9/2029,,,,TRUE,Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah,3,Jewish Holidays
Shabbat Shuva,15/9/2029,,,,TRUE,Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning),3,Jewish Holidays
Erev Yom Kippur,18/9/2029,,,,TRUE,Day of Atonement,3,Jewish Holidays
Yom Kippur,19/9/2029,,,,TRUE,Day of Atonement,4,Jewish Holidays
Erev Sukkot,23/9/2029,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot I,24/9/2029,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot II,25/9/2029,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot III (CH''M),26/9/2029,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot IV (CH''M),27/9/2029,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot V (CH''M),28/9/2029,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VI (CH''M),29/9/2029,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
